,tweet_id,original_tweet_id,original_tweet_user,date_time,user_id,username,followers,friends,user_description,statuses,text,nr_likes,users_likes,nr_RT,entities
300,817137698179862530,,,2017-01-05 22:36:23,2938187284,MadoRuys,97,168,"Rijkswaterstaat, Water Natuurlijk Algemeen Bestuur Waterschap De Dommel, duurzaamheid & innovatie @WNdeDommel",586,"Klimaat Robuuster, Veerkrachtiger en Stuurbaarder watersysteem, Nieuws uit @Water Natuurlijk in Waterschap De Dommel https://t.co/wges8itUT7",0,[],1,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '19673700', 'screen_name': 'Water', 'id': 19673700, 'name': 'Water.org', 'indices': [75, 81]}], 'urls': [{'url': 'https://t.co/wges8itUT7', 'expanded_url': 'https://www.waternatuurlijk.nl/16981-2/#.WG7JsfiObkd.twitter', 'indices': [117, 140], 'display_url': 'waternatuurlijk.nl/16981-2/#.WG7J…'}]}"
319,815864109333889024,,,2017-01-02 10:15:36,86321285,gjvu,1909,293,"Liberaal nuchtere Fries, Ondernemer & heuristische positivo, duurzaam is het pas onder de groene streep. #AquaZumba #Frutarian
http://t.co/brtoOJFX9G",74097,"#NPO1 Gelukkig weet Dhr. Freek de Jonge alles van duurzame energie, klimaat en Gronings-gas. Samen met Dhr Rotmans. 

Peppi &amp; Kokki",12,Be_denker;IwanGoeree;jeroen1huizinga;EMK2017;hansnl43;JoseDayPhoto;HielkeBandstra;manahaas;Yoorsonly;margreeth13;OmeWillum;IBommels,4,"{'symbols': [], 'hashtags': [{'indices': [0, 5], 'text': 'NPO1'}], 'user_mentions': [], 'urls': []}"
338,816708530409508864,,,2017-01-04 18:11:02,986794956,GroeneZaken,13527,13770,Gratis platform voor duurzame bedrijven | Duurzaam nieuws | Bedrijfsleven | Groen | Milieu | Innovatie | Sustainability | MVO | Netwerk | @GroeneZakenDeal,8839,"Hoe ""schoon"" zijn jouw kleren? 👕 #kledingindustrie behoort bij top 3 van meest vervuilende industrieën?… https://t.co/BZNiSZJ9Za",12,GroeneZakenDeal;klink_marcel;DuurzaamActueel;arianelelieveld;louiszandbergen;frankerwood;Zero_Waste_Be;NathalieRoman;betterclothing;GVanLierde;Siebe_Zwerver,10,"{'symbols': [], 'hashtags': [{'indices': [33, 50], 'text': 'kledingindustrie'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BZNiSZJ9Za', 'expanded_url': 'https://twitter.com/i/web/status/816708530409508864', 'indices': [105, 128], 'display_url': 'twitter.com/i/web/status/8…'}]}"
346,816259485811572736,,,2017-01-03 12:26:41,284452783,WarecoNL,434,513,"Welkom bij Wareco Ingenieurs, het ingenieurs- en adviesbureau op gebied van water, bodem en funderingen!",571,Overtollig regenwater in stedelijk gebied effectief benutten. Urban Waterbuffer biedt kansen.@Zuurbier_Koen #klimaat https://t.co/1HOmRmPdmF,2,kvanschieveen;mjevanmarle,6,"{'symbols': [], 'hashtags': [{'indices': [108, 116], 'text': 'klimaat'}], 'user_mentions': [{'id_str': '2181928080', 'screen_name': 'Zuurbier_Koen', 'id': 2181928080, 'name': 'Koen Zuurbier', 'indices': [93, 107]}], 'urls': [{'url': 'https://t.co/1HOmRmPdmF', 'expanded_url': 'https://www.wareco.nl/nieuws/urban-waterbuffer', 'indices': [117, 140], 'display_url': 'wareco.nl/nieuws/urban-w…'}]}"
349,812242607527133188,,,2016-12-23 10:25:03,490585256,Belfius,5019,3620,"Official account of Belfius. Groupe de bancassurance belge autonome, ancré localement.
Onafhankelijke, lokaal verankerde Belgische bank- en verzekeringsgroep.",6922,"Nieuwe financieringsmogelijkheden in Vlaanderen voor klimaat, energie, kringloopeconomie en smart cities! #vleva
https://t.co/gYvoos2XbQ",4,ThMartiny;BuysseJan;anvanmoer;WimVanOpstal,4,"{'symbols': [], 'hashtags': [{'indices': [106, 112], 'text': 'vleva'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/gYvoos2XbQ', 'expanded_url': 'https://www.vleva.eu/nieuws/nieuwe-financieringsmogelijkheden-vlaanderen-voor-klimaat-energie-kringloopeconomie-en-smart', 'indices': [113, 136], 'display_url': 'vleva.eu/nieuws/nieuwe-…'}]}"
351,811870532455067648,,,2016-12-22 09:46:33,13223462,Drapman,387,1529,Passion for television - quantum physics - people,1352,Eerste kleine privé #windmolen in West-Vlaanderen. Proficiat Johan Debruyne! #duurzaamondernemen #FocusWTV https://t.co/lb2d8yEV5m,2,JorisRombaut;wflorizoone,1,"{'symbols': [], 'hashtags': [{'indices': [20, 30], 'text': 'windmolen'}, {'indices': [77, 96], 'text': 'duurzaamondernemen'}, {'indices': [97, 106], 'text': 'FocusWTV'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/lb2d8yEV5m', 'expanded_url': 'http://www.focus-wtv.be/nieuws/eerste-kleine-priv%C3%A9windmolen-draait-op-volle-toeren', 'indices': [107, 130], 'display_url': 'focus-wtv.be/nieuws/eerste-…'}]}"
353,816925073529589760,,,2017-01-05 08:31:29,2814922837,Boerenbond,1245,159,"Voor en door boeren | boerenbond.be
Twitteraars van dienst: @MattyVeulemans en @BBwoordvoerder",1191,Heeft onze #vleesproductie werkelijk zo’n grote impact op het #klimaat? https://t.co/DX6UTXglbv,5,fleckveeboertje;filagri;BBwoordvoerder;PeterThijs83;SaskiaDeBlock,5,"{'symbols': [], 'hashtags': [{'indices': [11, 26], 'text': 'vleesproductie'}, {'indices': [62, 70], 'text': 'klimaat'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DX6UTXglbv', 'expanded_url': 'http://brnbnd.be/2iD6dRv', 'indices': [72, 95], 'display_url': 'brnbnd.be/2iD6dRv'}]}"
382,812305814811766784,,,2016-12-23 14:36:12,366504614,aireasnl,427,307,"A healthy city, with healthy air and healthy citizens is a shared responsibility of us all (government, citizens, business, science) #sustainocracy #leadership",3248,Net onze test #Tag ontvangen voor mobiele CO2 metingen @CleanSpace. Eens kijken of dit wat is voor onze burgerparti… https://t.co/Fm5fGvduQ8,4,bennas;renepare;CleanSpace;GameBusApp,6,"{'symbols': [], 'hashtags': [{'indices': [14, 18], 'text': 'Tag'}], 'user_mentions': [{'id_str': '3329147921', 'screen_name': 'CleanSpace', 'id': 3329147921, 'name': 'CleanSpace™', 'indices': [55, 66]}], 'urls': [{'url': 'https://t.co/Fm5fGvduQ8', 'expanded_url': 'https://twitter.com/i/web/status/812305814811766784', 'indices': [117, 140], 'display_url': 'twitter.com/i/web/status/8…'}]}"
383,814034112503836672,,,2016-12-28 09:03:51,10156612,LeoKnock,867,296,"Digital Marketeer, gemeenteraadslid @Oostkamp, politieraadslid @PZHetHoutsche #REX #LEX #DUX #LUX",1920,"De personenwagen zou voorbijgestreefde technologie zijn, maar de windmolen dan weer de baken van de toekomst. Wie stopt die waanzin?",0,[],2,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': []}"
386,817102122076540930,,,2017-01-05 20:15:01,8870432,NPORadio1,36839,1253,"Het officiële Twitter account van #NPORadio1. Nieuws, sport, achtergronden, interviews, reportages. Luister live: https://t.co/1hoqFm3DyX",59748,'Het klimaat in Nederland voor musici is dramatisch.' Orkestleider @MarcelMandos: https://t.co/XCx0Pii61e https://t.co/iXae8tuF1p,9,hemeradiana;TopogigioRini;MarcelMandos;jannyzeeland;hallootjepootje;HilliedeKoe;merijndehaas,17,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '613471308', 'screen_name': 'MarcelMandos', 'id': 613471308, 'name': '-', 'indices': [67, 80]}], 'media': [{'sizes': {'large': {'w': 960, 'resize': 'fit', 'h': 640}, 'thumb': {'w': 150, 'resize': 'crop', 'h': 150}, 'medium': {'w': 960, 'resize': 'fit', 'h': 640}, 'small': {'w': 680, 'resize': 'fit', 'h': 453}}, 'display_url': 'pic.twitter.com/iXae8tuF1p', 'indices': [106, 129], 'media_url': 'http://pbs.twimg.com/media/C1buDGEXgAA0Skz.jpg', 'url': 'https://t.co/iXae8tuF1p', 'type': 'photo', 'id_str': '817102119350272000', 'expanded_url': 'https://twitter.com/NPORadio1/status/817102122076540930/photo/1', 'media_url_https': 'https://pbs.twimg.com/media/C1buDGEXgAA0Skz.jpg', 'id': 817102119350272000}], 'urls': [{'url': 'https://t.co/XCx0Pii61e', 'expanded_url': 'http://www.nporadio1.nl/homepage/2649-het-klimaat-in-nederland-voor-musici-is-dramatisch', 'indices': [82, 105], 'display_url': 'nporadio1.nl/homepage/2649-…'}]}"
