,index,tweet_id,original_tweet_id,original_tweet_user,date_time,user_id,username,followers,friends,user_description,statuses,text,nr_likes,users_likes,nr_RT,entities,nr_responses,users_responses
2441,2842,818828079246311426,818478856348794880,Brabant,2017-01-10 14:33:21,200095745,Karlanig,253,440,Beleidsmedewerker water | Provincie Noord-Brabant | Twinker | Deltaprogramma| Duurzaam mijn huis verbouwen | Moestuintje | Boxtheater,367,RT @Brabant: Brabantse bedrijven gezocht voor testcase CO2-beprijzing. Meld u gratis aan en word een duurzame koploper: https://t.co/ZVxIPt…,0,[],19,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '18976451', 'screen_name': 'Brabant', 'id': 18976451, 'name': 'Provincie N. Brabant', 'indices': [3, 11]}], 'urls': []}",,
2442,2843,818826720446922752,,,2017-01-10 14:27:57,6896602,ianmacd,87,153,"Sceptic; atheist; afflicted with a fondness for the antiquated concepts of truth, free speech, justice, democracy and national identity.",276,"Soms zegeviert zelfs in het doorgeslagen politiek correcte klimaat van tegenwoordig het gezonde verstand toch wel.

https://t.co/KlgYbKhS6n",1,wsellis_ellis,0,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KlgYbKhS6n', 'expanded_url': 'http://www.volkskrant.nl/buitenland/zwitserland-mag-moslimmeisjes-verplichten-tot-gemengd-zwemmen~a4446321/', 'indices': [116, 139], 'display_url': 'volkskrant.nl/buitenland/zwi…'}]}",,
2443,2844,818826224881565696,,,2017-01-10 14:25:59,451324442,johandeklerk2,608,1286,"Vanaf 12 j. met alles m.b.t. de visserij bezig..... Visserman, Visserijonderzoek RIVO,  AID contole, directeur visafslag)en'  Int.Chauffeur  tot heden",18080,Gij Zijt Teveel: Milieu-hysterie uitvinding Amerikaanse oliemannetjes.. https://t.co/EiDbiskn11,0,[],0,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/EiDbiskn11', 'expanded_url': 'http://ln.is/climategate.nl/2017/ZBMzK', 'indices': [72, 95], 'display_url': 'ln.is/climategate.nl…'}]}",,
2444,2845,818825676363104257,818572674871992320,macharoesink,2017-01-10 14:23:48,499613368,FannoreFerazhin,802,667,Sustainability & Self-Sufficiency // (Urban) Gardening // Acts of Random Kindness // Transition Towns // Books // Librarian // RPGs,27367,RT @macharoesink: #kieswijs 15 maart voor mens &amp; dier voor het welzijn van huidige en komende generaties #ecologie #klimaat #luchtkwaliteit…,0,[],1,"{'symbols': [], 'hashtags': [{'indices': [18, 27], 'text': 'kieswijs'}, {'indices': [109, 118], 'text': 'ecologie'}, {'indices': [119, 127], 'text': 'klimaat'}, {'indices': [128, 143], 'text': 'luchtkwaliteit'}], 'user_mentions': [{'id_str': '34236869', 'screen_name': 'macharoesink', 'id': 34236869, 'name': 'Macha Roesink', 'indices': [3, 16]}], 'urls': []}",,
2445,2846,818825249705881600,,,2017-01-10 14:22:07,358178646,nieuwsindenhaag,2777,2918,Het nieuws in de omgeving Den Haag.,215456,Bewonersorganisatie Leidschenveen sluit zich aan bij protest tegen windmolen A4 https://t.co/6ELVWfXjhP #denhaag,0,[],0,"{'symbols': [], 'hashtags': [{'indices': [104, 112], 'text': 'denhaag'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/6ELVWfXjhP', 'expanded_url': 'http://www.hetnieuws.in/nieuws/4191531/den-haag/haaglanden/leidschendam/leidschendam-voorburg/voorburg', 'indices': [80, 103], 'display_url': 'hetnieuws.in/nieuws/4191531…'}]}",,
2446,2848,818823884459884544,,,2017-01-10 14:16:41,3939674009,LampjeL,956,772,geboren op 6 december,26982,Gij Zijt Teveel: Milieu-hysterie uitvinding Amerikaanse oliemannetjes.. - Climategate.nl https://t.co/atGCpeuTb5 via @climategateNL,0,[],0,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '132495140', 'screen_name': 'climategateNL', 'id': 132495140, 'name': 'Climategate.nl', 'indices': [117, 131]}], 'urls': [{'url': 'https://t.co/atGCpeuTb5', 'expanded_url': 'http://climategate.nl/2017/01/10/klimaat-en-milieu-uitvinding-oliemannetjes-zo-blijkt-opnieuw/', 'indices': [89, 112], 'display_url': 'climategate.nl/2017/01/10/kli…'}]}",,
2447,2849,818823479562764291,818823219213799424,BelegGroenGoud,2017-01-10 14:15:05,184445520,Hubrien,2054,2139,"P: vader, vriend en verteller. Z: Financial Life Planner die mensen graag helpt hun dromen en doelen te realiseren!  Woekerpolis-buster. Duurzaam beleggen.",17843,"RT @BelegGroenGoud: Tip 16: Waarom beleggen in duurzame energiebronnen niet alleen goed is voor klimaat, maar ook economisch klopt: https:/…",0,[],1,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '2731426526', 'screen_name': 'BelegGroenGoud', 'id': 2731426526, 'name': 'Groen Goud-beleggen', 'indices': [3, 18]}], 'urls': []}",,
2448,2850,818823219213799424,,,2017-01-10 14:14:03,2731426526,BelegGroenGoud,116,195,GroenGoud: onafhankelijke en 100% duurzame beleggingsportefeuilles waarin iedereen verantwoord kan beleggen. http://t.co/htkJidE7L2,152,"Tip 16: Waarom beleggen in duurzame energiebronnen niet alleen goed is voor klimaat, maar ook economisch klopt: https://t.co/xRuyMgjwDZ",0,[],1,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/xRuyMgjwDZ', 'expanded_url': 'https://www.youtube.com/watch?v=EL3uzljB5fo', 'indices': [112, 135], 'display_url': 'youtube.com/watch?v=EL3uzl…'}]}",,
2449,2851,818822600008826880,,,2017-01-10 14:11:35,385482181,rayaqua,493,424,,29446,"https://t.co/uQFjK8TBmE er i klimaat verandering, zoals al miljoenen jaren gebeurd, e aarde draait &amp; kantelt zo verschuiven d polen langzaam",0,[],0,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uQFjK8TBmE', 'expanded_url': 'http://www.telegraaf.nl/avond/27398728/__Europa_gebukt_onder_barre_kou__.html?utm_source=telegraaf-nieuwsbrief&utm_medium=email&utm_campaign=20170109205503_telegraafavond&utm_content=telegraaf_avond&utm_term=&EMAIL_SK=SK111869', 'indices': [0, 23], 'display_url': 'telegraaf.nl/avond/27398728…'}]}",,
2450,2852,818820843639894016,,,2017-01-10 14:04:36,812230714632663040,GreenWWarriors,127,886,"Green Wall Warriors is a project involving West-African youths and women, which aims to develop the forest of the future in the Sahel region.",40,"Zo compenseren bomen jouw vlieguitstoot (en hierom is dat belangrijk)
https://t.co/m9SiCGe4ed #klimaat #bomen #luchtvaart #CO2",0,[],0,"{'symbols': [], 'hashtags': [{'indices': [94, 102], 'text': 'klimaat'}, {'indices': [103, 109], 'text': 'bomen'}, {'indices': [110, 121], 'text': 'luchtvaart'}, {'indices': [122, 126], 'text': 'CO2'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/m9SiCGe4ed', 'expanded_url': 'http://bit.ly/2jqdIKB', 'indices': [70, 93], 'display_url': 'bit.ly/2jqdIKB'}]}",,
2451,2853,818820223973269504,,,2017-01-10 14:02:08,167714626,SWHHIN,7,19,http://t.co/p9HiEYDr,26,@vandevin Mathee: dan voor uw reactie.. laten we zo veel mogelijk CO2 vast leggen in bouwdelen.. ♻️,1,vandevin,0,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '522072798', 'screen_name': 'vandevin', 'id': 522072798, 'name': 'Van de Vin', 'indices': [0, 9]}], 'urls': []}",,
2452,2854,818819863875567616,,,2017-01-10 14:00:43,815110705,alexvisser1,0,3,,53,@manjureijmerLaten we het eens hebben over dat volslagen achterlijke geloof dat Islam heet. Voor de wereld erger dan alle CO2-uitstoot.,0,[],0,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': []}",,
2453,2855,818819257840582656,,,2017-01-10 13:58:18,212914915,co2ntramine,531,736,"Ondergrondse opslag van CO2 in Noord Nederland, kolencentrales, kernenergie en duurzame energie.",1151,"Kerncentrales op Thorium goedkoop, schoon, co2-vrij, veilig of snel beschikbaar? Nee, nee, nee, misschien en nee. https://t.co/24WBYKkB3H",0,[],1,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/24WBYKkB3H', 'expanded_url': 'http://www.co2ntramine.nl/kernenergie-op-thorium-plaats-aardgas-en-windenergie/', 'indices': [114, 137], 'display_url': 'co2ntramine.nl/kernenergie-op…'}]}",,
2454,2856,818818539205357568,,,2017-01-10 13:55:27,135919155,andriespoppe,1485,679,"Wethouder Noordoostpolder: opb.ruimte,milieu, duurzaamheid, hernieuwbare energie, hergebruik afval, verkeer, cultuurbedrijf toerisme/recreatie, wijken, windpark",8801,"@GemeenteNOP 150.000m2 zonnepanelen nodig voor 1 windmolen van 7,5 MW https://t.co/gsLbtK0uIU",1,NWEAWind,0,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '301916667', 'screen_name': 'GemeenteNOP', 'id': 301916667, 'name': 'Noordoostpolder', 'indices': [0, 12]}], 'urls': [{'url': 'https://t.co/gsLbtK0uIU', 'expanded_url': 'https://twitter.com/jonker_fj/status/818802578838487040', 'indices': [70, 93], 'display_url': 'twitter.com/jonker_fj/stat…'}]}",,
2455,2858,818816428409311233,818790911568125952,meschuurman,2017-01-10 13:47:04,368210602,JoannePenning,147,191,"Werkt voor @SamenvrDeBilt en gaat voor People, Planet, Profit en Pleasure.",485,RT @meschuurman: Bedrijven gezocht voor testcase #CO2 beprijzing https://t.co/tdtqV2eVeM @klimaatcoalitie #MVO #MVO_NL,0,[],8,"{'symbols': [], 'hashtags': [{'indices': [49, 53], 'text': 'CO2'}, {'indices': [106, 110], 'text': 'MVO'}, {'indices': [111, 118], 'text': 'MVO_NL'}], 'user_mentions': [{'id_str': '21646093', 'screen_name': 'meschuurman', 'id': 21646093, 'name': 'Michel Schuurman', 'indices': [3, 15]}, {'id_str': '2879662288', 'screen_name': 'Klimaatcoalitie', 'id': 2879662288, 'name': 'Klimaatcoalitie', 'indices': [89, 105]}], 'urls': [{'url': 'https://t.co/tdtqV2eVeM', 'expanded_url': 'http://mvonederland.nl/nieuws/bedrijven-gezocht-voor-testcase-co2-beprijzing', 'indices': [65, 88], 'display_url': 'mvonederland.nl/nieuws/bedrijv…'}]}",,
2456,2859,818815207925542916,818790911568125952,meschuurman,2017-01-10 13:42:13,81852998,jvandiepen,121,164,"Ik begeleid organisaties bij Duurzaam en Maatschappelijk Verantwoord Ondernemen. Van strategie tot implementatie, verslaglegging en eventueel certificering.",419,RT @meschuurman: Bedrijven gezocht voor testcase #CO2 beprijzing https://t.co/tdtqV2eVeM @klimaatcoalitie #MVO #MVO_NL,0,[],8,"{'symbols': [], 'hashtags': [{'indices': [49, 53], 'text': 'CO2'}, {'indices': [106, 110], 'text': 'MVO'}, {'indices': [111, 118], 'text': 'MVO_NL'}], 'user_mentions': [{'id_str': '21646093', 'screen_name': 'meschuurman', 'id': 21646093, 'name': 'Michel Schuurman', 'indices': [3, 15]}, {'id_str': '2879662288', 'screen_name': 'Klimaatcoalitie', 'id': 2879662288, 'name': 'Klimaatcoalitie', 'indices': [89, 105]}], 'urls': [{'url': 'https://t.co/tdtqV2eVeM', 'expanded_url': 'http://mvonederland.nl/nieuws/bedrijven-gezocht-voor-testcase-co2-beprijzing', 'indices': [65, 88], 'display_url': 'mvonederland.nl/nieuws/bedrijv…'}]}",,
2457,2861,818814581640458240,,,2017-01-10 13:39:43,288740397,gianbellan,893,365,Manager of the ECE Campus in Rotterdam @Entrepren_EUR | Former Growth Manager at @nestpick | Lived in Padua-Lisbon-Copenhagen-Prague-Berlin-Rotterdam,24103,RT nieuwsez: Speech by Dutch minister Henk Kamp ucberkeley - https://t.co/aJk21JZyki #NLUSA NLinUSA startupdelta https://t.co/MWIfIgWXzN …,0,[],0,"{'symbols': [], 'hashtags': [{'indices': [85, 91], 'text': 'NLUSA'}], 'user_mentions': [], 'media': [{'source_user_id': 15534632, 'source_status_id_str': '818616738011115520', 'media_url': 'http://pbs.twimg.com/media/C1xPk-DWQAIgtMF.jpg', 'display_url': 'pic.twitter.com/MWIfIgWXzN', 'source_status_id': 818616738011115520, 'id_str': '818616728825511938', 'expanded_url': 'https://twitter.com/nieuwsez/status/818616738011115520/photo/1', 'source_user_id_str': '15534632', 'id': 818616728825511938, 'url': 'https://t.co/MWIfIgWXzN', 'sizes': {'large': {'w': 1600, 'resize': 'fit', 'h': 598}, 'thumb': {'w': 150, 'resize': 'crop', 'h': 150}, 'medium': {'w': 1200, 'resize': 'fit', 'h': 449}, 'small': {'w': 680, 'resize': 'fit', 'h': 254}}, 'indices': [113, 136], 'type': 'photo', 'media_url_https': 'https://pbs.twimg.com/media/C1xPk-DWQAIgtMF.jpg'}], 'urls': [{'url': 'https://t.co/aJk21JZyki', 'expanded_url': 'https://ez.atavist.com/dutch-startup-climate', 'indices': [61, 84], 'display_url': 'ez.atavist.com/dutch-startup-…'}]}",,
2458,2862,818814306460598274,818813972271005696,timbales,2017-01-10 13:38:38,112823892,Klimaatzuster,7397,5202,"Iedereen is klimaatzuster: 50% uitstoot broeikasgassen heb je zelf in de hand! Oa campaigner @klimaatverbond, introductie @zonatlas Nu: @ecf4u & @warmetruiendag",39540,RT @timbales: Interessante #Kamervraag @janvos_pvda na bericht @BNR #ECB overschot aan CO2-rechten opkopen ipv in MSR opslaan https://t.co/…,0,[],5,"{'symbols': [], 'hashtags': [{'indices': [27, 38], 'text': 'Kamervraag'}, {'indices': [68, 72], 'text': 'ECB'}], 'user_mentions': [{'id_str': '18494161', 'screen_name': 'timbales', 'id': 18494161, 'name': 'Jos Cozijnsen', 'indices': [3, 12]}, {'id_str': '132211343', 'screen_name': 'janvos_pvda', 'id': 132211343, 'name': 'Jan Vos', 'indices': [39, 51]}, {'id_str': '18020059', 'screen_name': 'BNR', 'id': 18020059, 'name': 'BNR Nieuwsradio', 'indices': [63, 67]}], 'urls': []}",,
2459,2863,818814290127769600,818753179387105280,WattisDuurzaam,2017-01-10 13:38:34,560960705,AlexanderCram,220,487,Interested in all things #sustainability #intelligentcities #internationalrelation #photography #Amsterdam #climatechange #energy,768,RT @WattisDuurzaam: Mooi! Nederlandse biotechtrots @Avantium stapt in CO2-recycling met Amerikaanse overname https://t.co/M9R0qdOXre https:…,0,[],2,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '752712684', 'screen_name': 'WattisDuurzaam', 'id': 752712684, 'name': 'WattisDuurzaam.nl', 'indices': [3, 18]}, {'id_str': '271829278', 'screen_name': 'Avantium', 'id': 271829278, 'name': 'Avantium', 'indices': [51, 60]}], 'urls': [{'url': 'https://t.co/M9R0qdOXre', 'expanded_url': 'http://buff.ly/2joNU1s', 'indices': [109, 132], 'display_url': 'buff.ly/2joNU1s'}]}",,
2460,2864,818813972271005696,,,2017-01-10 13:37:18,18494161,timbales,2227,1623,Consulting Attorney Emissions Trading | CO2 Market Value @degroenezaak @Energiepodium @EnvDefenseFund #Greendeal Nationale CO2markt #EUETS * #CO2Seminar* 23 okt,29378,Interessante #Kamervraag @janvos_pvda na bericht @BNR #ECB overschot aan CO2-rechten opkopen ipv in MSR opslaan https://t.co/Xa9hUpcUEl,4,Klimaatzuster;arjanvdhoogen;StraverFrank,5,"{'symbols': [], 'hashtags': [{'indices': [13, 24], 'text': 'Kamervraag'}, {'indices': [54, 58], 'text': 'ECB'}], 'user_mentions': [{'id_str': '132211343', 'screen_name': 'janvos_pvda', 'id': 132211343, 'name': 'Jan Vos', 'indices': [25, 37]}, {'id_str': '18020059', 'screen_name': 'BNR', 'id': 18020059, 'name': 'BNR Nieuwsradio', 'indices': [49, 53]}], 'urls': [{'url': 'https://t.co/Xa9hUpcUEl', 'expanded_url': 'https://drimble.nl/politiek/pvda/in-het-nieuws/40779071/de-compensatie-van-emissierechten.html', 'indices': [112, 135], 'display_url': 'drimble.nl/politiek/pvda/…'}]}",,
2461,2865,818813689738493956,,,2017-01-10 13:36:11,2268747521,nicolienkroon,21111,284,"Weervrouw RTL/Buienradar | Meteoroloog | Altijd vrolijk | (Winter)sporten en reizen | Koken, bakken en lekker eten | Gezelligheid",1809,Tijd voor minder CO2 en meer groene #energie #milieu #klimaat https://t.co/jbs9aKw48q,3,enrico13122308;RobvdEeze;MVerhagen1,0,"{'symbols': [], 'hashtags': [{'indices': [36, 44], 'text': 'energie'}, {'indices': [45, 52], 'text': 'milieu'}, {'indices': [53, 61], 'text': 'klimaat'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jbs9aKw48q', 'expanded_url': 'https://twitter.com/RTLnieuws/status/818808217811750912', 'indices': [62, 85], 'display_url': 'twitter.com/RTLnieuws/stat…'}]}",,
2462,2866,818813262338916354,,,2017-01-10 13:34:29,393909254,Deltawind1,1056,628,Deltawind is de lokale energiecoöperatie van Goeree-Overflakkee. Samen met onze leden produceren we duurzaam opgewekte energie.,3137,#India overtreft #klimaatbeloften ruimschoots. https://t.co/NMsgHqIFrt,0,[],0,"{'symbols': [], 'hashtags': [{'indices': [0, 6], 'text': 'India'}, {'indices': [17, 33], 'text': 'klimaatbeloften'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NMsgHqIFrt', 'expanded_url': 'https://www.oneworld.nl/groen/klimaat/india-overtreft-klimaatbeloften-ruimschoots', 'indices': [47, 70], 'display_url': 'oneworld.nl/groen/klimaat/…'}]}",,
2463,2867,818813262280163328,,,2017-01-10 13:34:29,326740142,Robert_Koster,363,85,"Communicatie voor @Deltawind1 Duurzaamheid, innovatie & klimaatverandering |Goeree-Overflakkee| Op persoonlijke titel |  RT = interessant",2314,#India overtreft #klimaatbeloften ruimschoots. https://t.co/kaVpD0dpsD,0,[],0,"{'symbols': [], 'hashtags': [{'indices': [0, 6], 'text': 'India'}, {'indices': [17, 33], 'text': 'klimaatbeloften'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/kaVpD0dpsD', 'expanded_url': 'https://www.oneworld.nl/groen/klimaat/india-overtreft-klimaatbeloften-ruimschoots', 'indices': [47, 70], 'display_url': 'oneworld.nl/groen/klimaat/…'}]}",,
2464,2868,818813236829102081,,,2017-01-10 13:34:23,148086196,luukbuit,64,208,"Energy, tech, economics, history, politics, Groningen. Also has a private life.",143,Interessant: @noordbrabant gaat test doen met #CO2-beprijzing voor #MKB. Kan natuurlijk ook bij grotere bedrijven... https://t.co/IrXQzmoYY6,0,[],0,"{'symbols': [], 'hashtags': [{'indices': [46, 50], 'text': 'CO2'}, {'indices': [67, 71], 'text': 'MKB'}], 'user_mentions': [{'id_str': '17270505', 'screen_name': 'noordbrabant', 'id': 17270505, 'name': 'noordbrabant', 'indices': [13, 26]}], 'urls': [{'url': 'https://t.co/IrXQzmoYY6', 'expanded_url': 'http://www.duurzaamnieuws.nl/testcase-voor-co2-beprijzing-zoekt-bedrijven/', 'indices': [117, 140], 'display_url': 'duurzaamnieuws.nl/testcase-voor-…'}]}",1.0,luukbuit
2465,2869,818813134240628736,,,2017-01-10 13:33:58,20972663,omroepwest,104647,2931,Altijd dichterbij! | 89.3 Radio West | TV West | Omroepwest.nl,104341,Bewonersorganisatie Leidschenveen sluit zich aan bij protest tegen windmolen A4 https://t.co/hMsQqkP8Qd https://t.co/NtDkPpB7N8,0,[],1,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'media': [{'sizes': {'large': {'w': 770, 'resize': 'fit', 'h': 433}, 'thumb': {'w': 150, 'resize': 'crop', 'h': 150}, 'medium': {'w': 770, 'resize': 'fit', 'h': 433}, 'small': {'w': 680, 'resize': 'fit', 'h': 382}}, 'display_url': 'pic.twitter.com/NtDkPpB7N8', 'indices': [104, 127], 'media_url': 'http://pbs.twimg.com/media/C10CNIbXAAAFTX1.jpg', 'url': 'https://t.co/NtDkPpB7N8', 'type': 'photo', 'id_str': '818813131875090432', 'expanded_url': 'https://twitter.com/omroepwest/status/818813134240628736/photo/1', 'media_url_https': 'https://pbs.twimg.com/media/C10CNIbXAAAFTX1.jpg', 'id': 818813131875090432}], 'urls': [{'url': 'https://t.co/hMsQqkP8Qd', 'expanded_url': 'http://owst.nl/kFb9', 'indices': [80, 103], 'display_url': 'owst.nl/kFb9'}]}",,
2466,2870,818812728714334208,,,2017-01-10 13:32:21,485582439,Man_Impact,2381,1977,"Dé kennisplek voor manager en adviseur | Inspireert, verbindt en brengt verder | managementimpact.nl | Prijswinnende managementboeken | Events via @MI_AcademyNL",6055,Start testcase voor CO2-beprijzing. Bedrijven mogen gratis meedoen: https://t.co/DNPp25SlPE #duurzaamheid,0,[],2,"{'symbols': [], 'hashtags': [{'indices': [92, 105], 'text': 'duurzaamheid'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DNPp25SlPE', 'expanded_url': 'http://www.managementimpact.nl/strategie/artikel/2017/1/start-testcase-voor-co2-beprijzing-1018995', 'indices': [68, 91], 'display_url': 'managementimpact.nl/strategie/arti…'}]}",,
2467,2871,818812728643031041,,,2017-01-10 13:32:21,84793967,EduardvanB,2670,3104,Vader | Schrijver | Contentmanager | Communicatiespecialist | (hoofd)redacteur | Blogt over: Defensie | Krijgsmacht | Politiek | Management | Leiderschap,15073,Start testcase voor CO2-beprijzing. Bedrijven mogen gratis meedoen: https://t.co/fHAp5bsAyi #duurzaamheid,1,gerben_vandijk,3,"{'symbols': [], 'hashtags': [{'indices': [92, 105], 'text': 'duurzaamheid'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fHAp5bsAyi', 'expanded_url': 'http://www.managementimpact.nl/strategie/artikel/2017/1/start-testcase-voor-co2-beprijzing-1018995', 'indices': [68, 91], 'display_url': 'managementimpact.nl/strategie/arti…'}]}",,
2468,2872,818811268916248576,818716826427392000,Oss_KE,2017-01-10 13:26:33,312081748,Klimaatplein,4871,92,In 5 stappen CO2-neutraal ondernemen. Besparen & opwekken van duurzame energie voor bedrijven om klimaatverandering tegen te gaan. Check http://t.co/luyGXZ86,8395,RT @Oss_KE: testcase co2 beprijzing voor brabantse bedrijven https://t.co/6544o32jfU via @Brabant,0,[],1,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '3074625227', 'screen_name': 'Oss_KE', 'id': 3074625227, 'name': 'Kernteam Economie', 'indices': [3, 10]}, {'id_str': '18976451', 'screen_name': 'Brabant', 'id': 18976451, 'name': 'Provincie N. Brabant', 'indices': [89, 97]}], 'urls': [{'url': 'https://t.co/6544o32jfU', 'expanded_url': 'http://www.brabant.nl/dossiers/dossiers-op-thema/energie/nieuws-energie/2017/testcase-co2-beprijzing-voor-brabantse-bedrijven.aspx', 'indices': [61, 84], 'display_url': 'brabant.nl/dossiers/dossi…'}]}",,
2469,2873,818808849809416192,818787713310662656,climategateNL,2017-01-10 13:16:57,1457304996,GsSchutter,369,355,"Natuurliefhebber, jager en beheerder, hobbykok, en recht voor zijn raap , wat niet altijd gewaardeerd wordt, maar wel eerlijk.",18775,RT @climategateNL: Gij Zijt Teveel: Milieu-hysterie uitvinding Amerikaanse oliemannetjes.. https://t.co/AJL2gDeOZo via @climategateNL,0,[],3,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '132495140', 'screen_name': 'climategateNL', 'id': 132495140, 'name': 'Climategate.nl', 'indices': [3, 17]}, {'id_str': '132495140', 'screen_name': 'climategateNL', 'id': 132495140, 'name': 'Climategate.nl', 'indices': [119, 133]}], 'urls': [{'url': 'https://t.co/AJL2gDeOZo', 'expanded_url': 'http://climategate.nl/2017/01/10/klimaat-en-milieu-uitvinding-oliemannetjes-zo-blijkt-opnieuw/', 'indices': [91, 114], 'display_url': 'climategate.nl/2017/01/10/kli…'}]}",,
2470,2874,818808221297213441,,,2017-01-10 13:14:27,267375059,DickKraaij,1315,1342,Politics civil society | ChristenUnie conservative & neo-realo | Veritas liberat | Eert ervaringsdeskundigen | Dreamteam includes PVV | RT could be endorsement,105361,"Probleem is helaas dat CO2- en klimaatbeleid (qua invloed mens) peperdure poco bullshit is. Milieu, innovatie, circ… https://t.co/bYP4WPsnwh",0,[],0,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bYP4WPsnwh', 'expanded_url': 'https://twitter.com/i/web/status/818808221297213441', 'indices': [117, 140], 'display_url': 'twitter.com/i/web/status/8…'}]}",,
2471,2875,818808138916909060,818801052355010560,CO2Adviseurs,2017-01-10 13:14:07,548484301,CO2Adviseurs,1093,271,Het snelst groeiende (en leukste!) CO2 advies bureau van Nederland. Kom naar één van onze gratis seminars! https://t.co/GaOivJ1Fln,1448,"RT @CO2Adviseurs: Opgelet! De datum van onze seminars is gewijzigd. Het niveau 3 seminar is op 7, het niveau 5 seminar op 9 februari. https…",0,[],2,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '548484301', 'screen_name': 'CO2Adviseurs', 'id': 548484301, 'name': 'Dé CO2 Adviseurs', 'indices': [3, 16]}], 'urls': []}",,
2472,2876,818807996570476544,,,2017-01-10 13:13:33,1532064433,Benjijduurzaam,22730,24876,De laatste ontwikkelingen en nieuws over #duurzaamheid #energie #milieu #Windmolen #Zonnepanelen #Groen #bio #Electrisch #Industrie,5979,Testcase voor CO2-beprijzing zoekt bedrijven https://t.co/MmSB97qFtJ #duurzaam #nieuws,0,[],1,"{'symbols': [], 'hashtags': [{'indices': [69, 78], 'text': 'duurzaam'}, {'indices': [79, 86], 'text': 'nieuws'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/MmSB97qFtJ', 'expanded_url': 'http://dlvr.it/N4Xtz9', 'indices': [45, 68], 'display_url': 'dlvr.it/N4Xtz9'}]}",,
2473,2877,818807896041340928,,,2017-01-10 13:13:09,56625737,energienieuws,5490,143,verzameld energienieuws,76672,Testcase voor CO2-beprijzing zoekt bedrijven https://t.co/17gjSveE55 https://t.co/eM6Zx9U6zE,0,[],2,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'media': [{'sizes': {'large': {'w': 600, 'resize': 'fit', 'h': 300}, 'thumb': {'w': 150, 'resize': 'crop', 'h': 150}, 'medium': {'w': 600, 'resize': 'fit', 'h': 300}, 'small': {'w': 600, 'resize': 'fit', 'h': 300}}, 'display_url': 'pic.twitter.com/eM6Zx9U6zE', 'indices': [69, 92], 'media_url': 'http://pbs.twimg.com/media/C1z9cLBUUAE1f3R.jpg', 'url': 'https://t.co/eM6Zx9U6zE', 'type': 'photo', 'id_str': '818807892711067649', 'expanded_url': 'https://twitter.com/energienieuws/status/818807896041340928/photo/1', 'media_url_https': 'https://pbs.twimg.com/media/C1z9cLBUUAE1f3R.jpg', 'id': 818807892711067649}], 'urls': [{'url': 'https://t.co/17gjSveE55', 'expanded_url': 'http://dlvr.it/N4Xtf0', 'indices': [45, 68], 'display_url': 'dlvr.it/N4Xtf0'}]}",,
